,n,z3,mad3,iqr_tukey
AAPL,2110,0,0,0
ABBV,2110,0,0,0
ABT,2110,0,0,0
ACN,2110,0,0,0
ADBE,2110,8,69,70
AIG,2110,0,174,0
AMD,2110,25,26,30
AMGN,2110,7,126,0
AMT,2110,0,0,0
AMZN,2110,8,9,9
AVGO,2110,6,240,40
AXP,2110,0,61,0
BA,2110,53,532,523
BAC,2110,0,56,0
BIIB,2108,7,8,6
BKNG,2110,10,377,249
BLK,2110,0,0,0
BMY,2110,0,37,0
C,2110,0,0,0
CAT,2110,0,0,0
CHTR,2110,9,61,101
CL,2110,0,169,0
CMCSA,2110,38,93,16
COF,2110,0,47,122
COP,2110,0,8,19
COST,2110,0,0,0
CRM,2110,0,33,0
CSCO,2110,0,161,0
CVS,2110,0,86,3
CVX,2110,0,84,148
DE,2110,0,0,0
DHR,2110,0,0,0
DIS,2110,0,0,0
DUK,2110,0,70,0
EMR,2110,0,10,0
F,2110,13,112,86
FDX,2110,0,0,0
GD,2110,0,156,1
GE,2110,0,0,0
GILD,2110,0,366,0
GM,2110,0,56,55
GOOG,2110,0,0,0
GOOGL,2110,0,0,0
GS,2110,0,61,0
HD,2110,0,0,0
HON,2110,54,243,208
IBM,2110,0,12,0
INTC,2110,0,939,0
JNJ,2110,0,64,0
JPM,2110,36,150,39
KHC,2110,0,0,23
KO,2110,0,121,0
LIN,1899,0,0,0
LLY,2110,0,0,0
LMT,2110,0,184,0
LOW,2110,0,0,0
MA,2110,0,33,0
MCD,2110,0,0,0
MDLZ,2110,0,39,0
MDT,2110,0,0,0
MET,2110,0,90,0
META,2110,0,1,0
MMM,2110,0,0,0
MO,2110,0,103,0
MRK,2110,0,0,0
MS,2110,0,1,0
MSFT,2110,0,0,0
NEE,2110,0,0,0
NFLX,2110,10,106,103
NKE,2110,0,0,0
NVDA,2110,1,390,190
ORCL,2110,33,33,0
PEP,2110,0,56,0
PFE,2110,0,85,0
PG,2110,0,0,0
PM,2110,0,47,0
PYPL,2110,0,383,362
QCOM,2110,0,0,0
RTX,2110,0,0,0
SBUX,2110,0,0,0
SCHW,2110,0,9,4
SO,2110,0,0,0
SPG,2110,0,0,0
T,2110,0,0,0
TGT,2110,0,0,0
TMO,2110,0,0,0
TMUS,2110,0,0,0
TSLA,2110,0,0,0
TXN,2110,0,0,0
UNH,2110,0,0,0
UNP,2110,0,0,0
UPS,2110,0,0,0
USB,2110,0,0,0
V,2110,10,13,52
VZ,2110,0,0,0
WFC,2110,0,0,0
WMT,2110,12,46,0
XOM,2110,0,0,0
ALL,206567,5394,14432,13903
