,n,mean,median,std,mad,skew,excess_kurt,p95,p99,p999,max
AAPL,2110.0,0.0004172,0.00043271,0.00021118,0.00018048,0.06644202,-1.02984066,0.00077227,0.00082554,0.00085824,0.00096564
ABBV,2110.0,0.0495968,0.04790497,0.0194877,0.01123891,-0.04729143,-0.1358294,0.0829297,0.09039164,0.09258555,0.09464056
ABT,2110.0,0.05982822,0.06066699,0.02394663,0.0178077,-0.36236657,-0.43247333,0.09480716,0.10200981,0.10755933,0.10796429
ACN,2110.0,0.05857899,0.05616172,0.02549301,0.01623826,-0.2193844,-0.33444231,0.09863224,0.10998536,0.12239112,0.12247196
ADBE,2110.0,6e-07,4e-08,1.003e-05,2e-08,24.93927991,706.04649198,1.2e-07,1.8e-07,0.00016228,0.00033261
AIG,2110.0,0.03693445,0.04179958,0.01321578,0.00646489,-0.97434148,0.4367273,0.05454324,0.05739513,0.05812104,0.05864981
AMD,2110.0,3.85e-05,3.575e-05,2.62e-05,1.703e-05,1.43646792,4.34516077,8.468e-05,0.00013143,0.00017931,0.00018417
AMGN,2110.0,0.05550384,0.05869659,0.01834224,0.00933247,-1.03342208,0.55183547,0.07622427,0.08747703,0.08956539,0.09027545
AMT,2110.0,0.09963444,0.10266105,0.04443909,0.03193071,-0.4034415,-0.75246969,0.16172478,0.17093925,0.17683465,0.17855405
AMZN,2110.0,3.191e-05,3.106e-05,2.179e-05,9.38e-06,11.9285776,193.5948829,4.945e-05,5.663e-05,0.00038069,0.00045055
AVGO,2110.0,0.00201321,0.00142006,0.00147954,0.00063316,1.18964006,0.42210067,0.00526539,0.00585579,0.00706483,0.00786124
AXP,2110.0,0.01508876,0.01515717,0.00509391,0.00268522,-0.49840886,0.55651194,0.02292387,0.02514003,0.02611377,0.02640197
BA,2110.0,1.562e-05,4e-08,3.385e-05,2e-08,2.39360154,6.39345736,9.914e-05,0.00013273,0.0001582,0.00032228
BAC,2110.0,0.03884695,0.04013633,0.01622847,0.0090061,-0.32368809,-0.02458315,0.06544222,0.07197344,0.07450327,0.07476357
BIIB,2108.0,0.00013405,0.00013778,4.338e-05,2.155e-05,7.15403062,136.55343332,0.00018354,0.00019993,0.00060703,0.0010909
BKNG,2110.0,3.99e-06,7.6e-07,4.056e-05,5.4e-07,22.01663661,540.64427964,7.08e-06,1.134e-05,0.00074791,0.00118569
BLK,2110.0,0.01125731,0.01159579,0.00402387,0.00321576,-0.24852848,0.03827211,0.01805526,0.01928144,0.01985839,0.02004676
BMY,2110.0,0.11338296,0.12798308,0.04934116,0.02699603,-0.64058521,-0.4654836,0.18286969,0.19388223,0.19940393,0.20058026
C,2110.0,0.03894807,0.04169389,0.01676824,0.01325319,-0.47169837,-0.86134148,0.06060777,0.06413356,0.06669873,0.06690696
CAT,2110.0,0.00869669,0.00834225,0.00325068,0.00225554,-0.47946233,-0.26101759,0.01336958,0.0140729,0.01511664,0.01533239
CHTR,2110.0,4.03e-06,5e-08,6.38e-05,3e-08,20.86071818,489.89082838,1.7e-07,3.152e-05,0.00106562,0.00180556
CL,2110.0,0.05195844,0.05657097,0.01798661,0.00891647,-1.25837895,0.81370485,0.07170791,0.07290499,0.07393516,0.07431141
CMCSA,2110.0,0.03068621,0.03113855,0.00715018,0.00346339,-1.36040215,4.85152135,0.04223889,0.0445519,0.04613214,0.04662899
COF,2110.0,0.02740363,0.02730849,0.01057811,0.00546277,0.35850845,0.27658187,0.0492619,0.05233768,0.05392502,0.05423423
COP,2110.0,0.05708705,0.05553227,0.02560281,0.01582899,0.24036385,-0.11908794,0.10527103,0.12021284,0.12898316,0.12951237
COST,2110.0,0.01275675,0.01191314,0.00636924,0.00431826,0.15454731,-1.06977318,0.02262177,0.02415014,0.02554375,0.02590587
CRM,2110.0,0.01429456,0.01424769,0.00500287,0.00297271,-0.47306058,0.30439617,0.02198679,0.02432791,0.02504209,0.0256032
CSCO,2110.0,0.02882961,0.03215643,0.0112157,0.00519355,-0.87484974,-0.09247791,0.04298323,0.04622137,0.0488718,0.04921571
CVS,2110.0,0.07784508,0.08072087,0.03569131,0.01624968,-0.27089991,-0.51460199,0.13661638,0.14225467,0.14595579,0.14807601
