ticker,threshold,flags
AAPL,2.0,8
AAPL,2.5,1
AAPL,3.0,0
AAPL,3.5,0
AAPL,4.0,0
AAPL,5.0,0
ABBV,2.0,125
ABBV,2.5,29
ABBV,3.0,0
ABBV,3.5,0
ABBV,4.0,0
ABBV,5.0,0
ABT,2.0,92
ABT,2.5,0
ABT,3.0,0
ABT,3.5,0
ABT,4.0,0
ABT,5.0,0
ACN,2.0,56
ACN,2.5,3
ACN,3.0,0
ACN,3.5,0
ACN,4.0,0
ACN,5.0,0
ADBE,2.0,14
ADBE,2.5,8
ADBE,3.0,8
ADBE,3.5,8
ADBE,4.0,8
ADBE,5.0,5
AIG,2.0,110
AIG,2.5,50
AIG,3.0,0
AIG,3.5,0
AIG,4.0,0
AIG,5.0,0
AMD,2.0,74
AMD,2.5,30
AMD,3.0,25
AMD,3.5,22
AMD,4.0,15
AMD,5.0,9
AMGN,2.0,170
AMGN,2.5,70
AMGN,3.0,7
AMGN,3.5,0
AMGN,4.0,0
AMGN,5.0,0
AMT,2.0,102
AMT,2.5,0
AMT,3.0,0
AMT,3.5,0
AMT,4.0,0
AMT,5.0,0
AMZN,2.0,8
AMZN,2.5,8
AMZN,3.0,8
AMZN,3.5,8
AMZN,4.0,8
AMZN,5.0,8
AVGO,2.0,151
AVGO,2.5,40
AVGO,3.0,6
AVGO,3.5,2
AVGO,4.0,0
AVGO,5.0,0
AXP,2.0,115
AXP,2.5,37
AXP,3.0,0
AXP,3.5,0
AXP,4.0,0
AXP,5.0,0
BA,2.0,168
BA,2.5,102
BA,3.0,53
BA,3.5,20
BA,4.0,7
BA,5.0,1
BAC,2.0,148
BAC,2.5,0
BAC,3.0,0
BAC,3.5,0
BAC,4.0,0
BAC,5.0,0
BIIB,2.0,9
BIIB,2.5,7
BIIB,3.0,7
BIIB,3.5,6
BIIB,4.0,5
BIIB,5.0,5
BKNG,2.0,11
BKNG,2.5,10
BKNG,3.0,10
BKNG,3.5,8
BKNG,4.0,8
BKNG,5.0,8
BLK,2.0,77
BLK,2.5,56
BLK,3.0,0
BLK,3.5,0
BLK,4.0,0
BLK,5.0,0
BMY,2.0,99
BMY,2.5,0
BMY,3.0,0
BMY,3.5,0
BMY,4.0,0
BMY,5.0,0
C,2.0,79
C,2.5,0
C,3.0,0
C,3.5,0
C,4.0,0
C,5.0,0
CAT,2.0,90
CAT,2.5,26
CAT,3.0,0
CAT,3.5,0
CAT,4.0,0
CAT,5.0,0
CHTR,2.0,9
CHTR,2.5,9
CHTR,3.0,9
CHTR,3.5,9
CHTR,4.0,9
CHTR,5.0,9
CL,2.0,151
CL,2.5,87
CL,3.0,0
CL,3.5,0
CL,4.0,0
CL,5.0,0
CMCSA,2.0,101
CMCSA,2.5,39
CMCSA,3.0,38
CMCSA,3.5,38
CMCSA,4.0,38
CMCSA,5.0,0
COF,2.0,185
COF,2.5,8
COF,3.0,0
COF,3.5,0
COF,4.0,0
COF,5.0,0
COP,2.0,90
COP,2.5,19
COP,3.0,0
